state_abbr,s_StudyID,s_Study_Design,s_Study_Rating,s_Study_Page_URL,findings_n,interventions_n,weighted_outcome_sample,mean_effect_size_wwc,mean_improvement_index
AZ,90790,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90790,9,0,10354.384615384615,0.11986484868768077,4.777777777777778
CA,131,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/131,7,0,3539.5,0.24363121583570924,9.285714285714286
CA,1121,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/1121,2,1,571.6666666666666,0.09274873159973471,3.5
CA,9443,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/9443,3,1,187.33333333333331,0.34881339986456966,13.0
CA,14407,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/14407,8,1,280.54166666666663,0.2946,11.6
CA,29870,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/29870,1,1,119.60000000000001,,23.0
CA,30012,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30012,1,1,207.9,,8.0
CA,30135,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30135,4,1,431.22222222222223,,13.75
CA,30518,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30518,4,1,1285.5,,-0.75
CA,30639,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/30639,1,1,156.5,,-2.0
CA,32031,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/32031,2,0,3752.333333333333,-0.08780774536079135,-3.5
CA,44803,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/44803,6,1,32.0,0.42597808017449806,16.0
CA,63460,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/63460,3,1,70.66666666666666,,0.0
CA,63987,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/63987,7,1,2527.0,0.17655147310556712,7.142857142857143
CA,65085,Randomized controlled trial,Meets WWC standards without reservations,/Study/65085,10,1,12289.5,,1.6
CA,65371,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/65371,9,1,462.72727272727275,0.3750378161015652,13.0
CA,67271,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67271,6,0,1487.142857142857,-0.027289559475774217,-1.0
CA,67284,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67284,3,1,578.125,-0.0166493649416042,-0.6666666666666666
CA,67284,Randomized controlled trial,Meets WWC standards without reservations,/Study/67284,16,0,4515.5,,-2.5
CA,67297,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67297,19,0,608.0,-0.21010672635487915,-11.631578947368421
CA,67301,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/67301,176,0,5455.200000000001,,8.823863636363637
CA,71980,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/71980,2,0,2767.5,0.28880890790206903,11.0
CA,77028,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/77028,6,0,223.71428571428572,,4.833333333333333
CA,77029,Randomized controlled trial,Meets WWC standards without reservations,/Study/77029,1,0,1308.0,0.067051441503542,3.0
CA,77299,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/77299,1,1,46.5625,0.112191716858976,4.0
CA,77774,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/77774,15,0,1920.75,-0.01749252725814765,-0.8
CA,77775,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/77775,3,0,155.4,0.22198067330319501,9.0
CA,77968,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/77968,15,1,2143.0,0.21772486462549834,8.266666666666667
CA,78510,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/78510,9,1,1294.5,0.104424850921394,8.11111111111111
CA,78544,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78544,41,1,9842.166666666666,0.033588452187459636,1.7666666666666666
CA,78548,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78548,30,0,6714.333333333333,,1.2333333333333334
CA,78621,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78621,16,0,534.0,-0.2619636527979254,-10.1875
CA,79332,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/79332,14,1,6267.5,,-0.5714285714285714
CA,79958,Randomized controlled trial,Meets WWC standards without reservations,/Study/79958,1,0,488.66666666666663,,11.0
CA,80616,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/80616,20,0,4386.0,,3.95
CA,80630,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/80630,5,0,1218.5,0.08610687472984331,3.8
CA,81003,Randomized controlled trial,Meets WWC standards without reservations,/Study/81003,23,1,887.7142857142857,0.021395209620030203,0.782608695652174
CA,81428,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81428,16,0,1464986.111111111,,0.875
CA,81433,Randomized controlled trial,Meets WWC standards without reservations,/Study/81433,10,0,2297.833333333333,0.3962562693277202,15.2
CA,81434,Randomized controlled trial,Meets WWC standards without reservations,/Study/81434,4,0,4867.0,,3.25
CA,81473,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/81473,12,0,193.71428571428572,0.5892717660524036,21.181818181818183
CA,81478,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/81478,10,1,875.5833333333333,0.15719305656822333,5.9
CA,82209,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82209,1,0,91.33333333333333,0.431203622031817,17.0
CA,82590,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82590,7,0,9763.600000000002,0.0267494280005808,1.1428571428571428
CA,82674,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/82674,2,1,527.25,-0.01469072360644005,-0.5
CA,84082,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/84082,1,0,5086.5,,
CA,84082,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/84082,8,0,34268.0,0.138327291558888,2.5
CA,84221,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/84221,9,1,1666.0,0.003192531396614089,0.2222222222222222
CA,84230,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/84230,4,1,1084.3333333333333,-0.005002166902768201,0.0
CA,85518,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85518,13,1,1953.909090909091,0.23452534013614063,9.307692307692308
CA,85520,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/85520,21,0,4044.0,0.19164762815940029,7.523809523809524
CA,85538,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/85538,6,1,463.71428571428567,0.14412486355040896,5.666666666666667
CA,86110,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/86110,4,1,892.0,0.19818594924939537,8.0
CA,86168,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/86168,2,0,76.75,-0.1078970450789562,-4.5
CA,87293,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/87293,4,0,288.51162790697674,0.3851747268965773,14.75
CA,87305,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87305,14,0,2870.0,,
CA,87321,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87321,118,0,14108.846153846154,0.18732667746261944,7.0495049504950495
CA,87535,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87535,6,0,3393.333333333333,0.199745470330223,5.666666666666667
CA,87574,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87574,9,0,1851.0,0.15583956739594917,6.222222222222222
CA,87630,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/87630,4,0,239.85714285714283,0.2155322373525775,8.333333333333334
CA,89200,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89200,3,1,707.125,1.0003193162786483,34.0
CA,89202,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89202,15,0,2891.6666666666665,0.38368132049246145,12.6
CA,89371,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89371,56,0,38709.33333333333,0.0027065320354599486,0.15217391304347827
CA,89442,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89442,13,0,2185.8571428571427,0.09983846333177503,4.083333333333333
CA,89470,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89470,6,0,5479.090909090909,-0.004047550582012884,-0.16666666666666666
CA,89782,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89782,7,0,4152.4,0.12346289954849014,3.4285714285714284
CA,89964,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89964,2,0,379.66666666666663,-0.0010953407223610497,0.0
CA,89971,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/89971,12,0,75822.0,-0.017728877232854257,-0.75
CA,90012,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/90012,9,0,1510.0,-0.47198760002211426,-0.1111111111111111
CA,90055,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90055,3,0,594.0,,15.0
CA,90086,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90086,9,0,8010.999999999999,0.07236802220922357,2.5555555555555554
CA,90092,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90092,3,0,753.5,,5.0
CA,90094,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90094,2,0,543.0,0.1854727240795785,7.5
CA,90167,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90167,18,0,16421.75,-0.1082926915956524,-0.7777777777777778
CA,90184,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/90184,5,0,3924.0,0.09659737828616281,3.8
CA,90220,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/90220,4,0,9458.0,0.02799473657322205,0.6666666666666666
CA,90225,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90225,4,0,464.0,0.1609487213294015,6.5
CA,90296,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/90296,1,0,2128.7000000000003,-0.251943611941047,-10.0
CA,90645,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90645,4,0,3546.5,0.06508510785688593,2.75
CA,90647,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90647,3,0,597.0,0.1545692573002733,6.0
CA,90658,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/90658,1,0,2119.0,0.219144425628919,9.0
CA,90682,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/90682,7,0,330.3333333333333,0.22740066406450785,8.857142857142858
CA,90790,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90790,9,0,10354.384615384615,0.11986484868768077,4.777777777777778
CA,90949,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90949,8,0,157.33333333333331,0.7166821692698383,25.875
CA,94627,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/94627,15,0,9592.75,0.027109936536759454,1.0
CO,30012,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30012,1,1,207.9,,8.0
CO,30135,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30135,4,1,431.22222222222223,,13.75
CO,65371,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/65371,9,1,462.72727272727275,0.3750378161015652,13.0
CO,67297,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67297,19,0,608.0,-0.21010672635487915,-11.631578947368421
CO,77028,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/77028,6,0,223.71428571428572,,4.833333333333333
CO,78621,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78621,16,0,534.0,-0.2619636527979254,-10.1875
CO,81473,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/81473,12,0,193.71428571428572,0.5892717660524036,21.181818181818183
CO,81591,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81591,1,0,18.0,,0.0
CO,81746,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81746,3,1,220.20000000000002,0.19659720964456398,7.666666666666667
CO,82909,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/82909,3,0,93.33333333333333,,
CO,84230,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/84230,4,1,1084.3333333333333,-0.005002166902768201,0.0
CO,85516,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85516,22,1,37873.22222222222,0.19397960096453054,7.636363636363637
CO,85518,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85518,13,1,1953.909090909091,0.23452534013614063,9.307692307692308
CO,86107,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/86107,1,0,58.0,0.885391922322382,31.0
CO,86168,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/86168,2,0,76.75,-0.1078970450789562,-4.5
CO,87293,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/87293,4,0,288.51162790697674,0.3851747268965773,14.75
CO,87321,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87321,118,0,14108.846153846154,0.18732667746261944,7.0495049504950495
CO,89848,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/89848,14,0,52110.0,0.017663735813629223,0.5714285714285714
CO,90219,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90219,5,0,6086.5,0.012498808031651251,1.0
CO,90829,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/90829,6,0,389238.0,1.38553789660217,41.2
CT,30135,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30135,4,1,431.22222222222223,,13.75
CT,72031,Randomized controlled trial,Meets WWC standards without reservations,/Study/72031,2,0,1429.0,-0.004430777047027599,-0.5
CT,81563,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81563,5,0,160.0,,27.8
CT,81830,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/81830,12,1,1693.6000000000001,0.11020461145858564,4.333333333333333
CT,82098,Randomized controlled trial,Meets WWC standards with reservations,/Study/82098,2,0,1580.8571428571427,,2.5
CT,82100,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/82100,2,1,1580.8571428571427,0.07118220383737028,2.5
CT,82128,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82128,6,1,1221.6000000000001,-0.09049112192376868,-3.8333333333333335
CT,82128,Randomized controlled trial,Meets WWC standards without reservations,/Study/82128,30,1,6030.200000000001,-0.00575970139660081,-1.0666666666666667
CT,82196,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82196,2,1,788.4285714285713,,0.0
CT,82197,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82197,2,1,1844.3333333333333,,0.0
CT,82935,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/82935,11,0,1133.0,0.29514896594353535,11.272727272727273
CT,88740,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/88740,6,0,1672.5,0.38250415515592134,7.666666666666667
CT,88814,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/88814,3,0,2094.0,0.6756210000585331,24.333333333333332
CT,88880,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/88880,9,1,1513.5,0.05732518513555702,2.2222222222222223
CT,89235,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89235,10,1,2588.5,0.357605673807994,5.8
DC,30710,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/30710,2,1,280.0,0.0454642744943638,3.0
DC,65085,Randomized controlled trial,Meets WWC standards without reservations,/Study/65085,10,1,12289.5,,1.6
DC,67294,Randomized controlled trial,Meets WWC standards without reservations,/Study/67294,14,0,0.0,,0.6428571428571429
DC,67301,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/67301,176,0,5455.200000000001,,8.823863636363637
DC,77028,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/77028,6,0,223.71428571428572,,4.833333333333333
DC,78544,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78544,41,1,9842.166666666666,0.033588452187459636,1.7666666666666666
DC,78548,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78548,30,0,6714.333333333333,,1.2333333333333334
DC,78772,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78772,28,0,10219.0,,-0.25
DC,80616,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/80616,20,0,4386.0,,3.95
DC,80630,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/80630,5,0,1218.5,0.08610687472984331,3.8
DC,81428,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81428,16,0,1464986.111111111,,0.875
DC,81646,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81646,8,0,9346.0,0.11493835487594682,3.375
DC,82198,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82198,7,0,1186.0,0.0069485165094705465,0.14285714285714285
DC,82924,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/82924,7,1,1393.0,0.45525812958537654,16.857142857142858
DC,85485,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/85485,12,0,1653.0,0.12576162914478797,5.0
DC,85516,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85516,22,1,37873.22222222222,0.19397960096453054,7.636363636363637
DC,85518,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85518,13,1,1953.909090909091,0.23452534013614063,9.307692307692308
DC,85645,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/85645,5,0,22147.0,0.0009991311199635004,-0.2
DC,87293,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/87293,4,0,288.51162790697674,0.3851747268965773,14.75
DC,87321,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/87321,118,0,14108.846153846154,0.18732667746261944,7.0495049504950495
DC,87630,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/87630,4,0,239.85714285714283,0.2155322373525775,8.333333333333334
DC,89200,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89200,3,1,707.125,1.0003193162786483,34.0
DC,89442,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89442,13,0,2185.8571428571427,0.09983846333177503,4.083333333333333
DC,89792,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89792,18,0,9387.0,0.11112002867127946,2.9444444444444446
DC,89839,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89839,4,0,40.57142857142857,0.07801682713820378,3.0
DC,89847,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/89847,1,0,26.375,-0.157735550869625,-6.0
DC,89859,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/89859,7,0,1158.75,,5.571428571428571
DC,90004,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90004,15,0,911.5,0.03037338664274841,1.2666666666666666
DC,90005,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90005,13,0,756.5,0.0009884543358729724,0.0
DC,90091,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90091,6,0,142.375,0.1649411504023994,6.333333333333333
DC,90215,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90215,6,0,2853.0,-0.05623210272959903,-2.0
DC,90790,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90790,9,0,10354.384615384615,0.11986484868768077,4.777777777777778
DE,71018,Randomized controlled trial,Meets WWC standards without reservations,/Study/71018,1,0,818.6666666666666,0.0205480031994452,1.0
DE,89847,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/89847,1,0,26.375,-0.157735550869625,-6.0
DE,90091,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90091,6,0,142.375,0.1649411504023994,6.333333333333333
DE,90301,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/90301,33,0,502.40000000000003,0.13139845902177957,3.727272727272727
FL,9443,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/9443,3,1,187.33333333333331,0.34881339986456966,13.0
FL,14409,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/14409,2,1,321.75,0.14795002795549989,5.5
FL,29247,Randomized controlled trial,Meets WWC standards without reservations,/Study/29247,9,1,586.3333333333333,,2.6666666666666665
FL,29870,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/29870,1,1,119.60000000000001,,23.0
FL,30012,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/30012,1,1,207.9,,8.0
FL,30639,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/30639,1,1,156.5,,-2.0
FL,40473,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/40473,7,1,1167.4444444444443,0.04607932929627497,1.7142857142857142
FL,63987,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/63987,7,1,2527.0,0.17655147310556712,7.142857142857143
FL,64544,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/64544,8,1,1024.0,0.36373145208230023,11.125
FL,65127,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/65127,1,1,104.28571428571428,0.127630114071465,5.0
FL,67284,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67284,3,1,578.125,-0.0166493649416042,-0.6666666666666666
FL,67284,Randomized controlled trial,Meets WWC standards without reservations,/Study/67284,16,0,4515.5,,-2.5
FL,77775,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/77775,3,0,155.4,0.22198067330319501,9.0
FL,78544,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78544,41,1,9842.166666666666,0.033588452187459636,1.7666666666666666
FL,78548,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78548,30,0,6714.333333333333,,1.2333333333333334
FL,80630,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/80630,5,0,1218.5,0.08610687472984331,3.8
FL,81482,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/81482,3,0,607.5,0.12957505240926134,5.0
FL,81746,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81746,3,1,220.20000000000002,0.19659720964456398,7.666666666666667
FL,81830,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/81830,12,1,1693.6000000000001,0.11020461145858564,4.333333333333333
FL,82128,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82128,6,1,1221.6000000000001,-0.09049112192376868,-3.8333333333333335
FL,82128,Randomized controlled trial,Meets WWC standards without reservations,/Study/82128,30,1,6030.200000000001,-0.00575970139660081,-1.0666666666666667
FL,82590,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82590,7,0,9763.600000000002,0.0267494280005808,1.1428571428571428
FL,82904,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/82904,1,1,152.83333333333331,0.191998492358146,6.0
FL,82904,Randomized controlled trial,Meets WWC standards without reservations,/Study/82904,1,1,113.16666666666666,0.259785612131792,10.0
