state_abbr,findings_n,studies_n,interventions_n,weighted_finding_contribution,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,single_state_rows,multistate_rows,contribution_share_pct,state_name
FL,311,35,19,68.30077938857009,90033.84102906138,0.09967325449375226,0.0625332407088523,75.0,3.010600706713781,0,311,2.9516326442770136,Florida
LA,310,23,6,46.33426257205327,1733475.0415119117,0.12731248799150408,0.05885004798723435,64.22018348623854,4.029629629629629,0,310,2.0023449685416277,Louisiana
WA,280,22,10,37.13565146094216,34642.22028175313,0.15963077248280602,0.128091740481668,71.49321266968326,5.6414342629482075,0,280,1.6048250415273186,Washington
MD,264,27,9,62.46350555129625,1572501.2994178946,0.20090199063802483,0.0842305605732716,78.91156462585033,4.496031746031746,0,264,2.6993736193300024,Maryland
CO,263,20,6,32.313230826021524,505870.88382792915,0.1676562729833338,0.109199984506053,65.48672566371681,5.734439834024896,0,263,1.396423112619772,Colorado
MO,260,17,9,24.72910384189454,41794.2113531817,0.15093559792850733,0.08453323397195214,67.85714285714286,5.03765690376569,0,260,1.0686734590274216,Missouri
OR,251,20,7,38.814439339730036,84418.6778575107,0.19883084825312453,0.1688115866204175,72.33009708737865,6.75,0,251,1.677374215200088,Oregon
AR,249,8,2,25.561277224067922,52913.30408822443,0.140119076611746,0.104997162750061,86.4406779661017,8.304878048780488,0,249,1.1046360079545343,Arkansas
TN,243,39,9,61.88996659025729,1559539.9166437243,0.30104415312111704,0.231887676564429,89.75609756097562,10.077586206896552,0,243,2.674588011679226,Tennessee
WI,241,15,3,29.433713121503818,1522201.8463653915,0.2658057824359659,0.15978838358824848,73.40425531914893,8.108597285067873,0,241,1.2719841452680993,Wisconsin
MI,239,24,11,25.414168776959475,58584.4271540475,0.16020248050762478,0.10404858159445049,66.3265306122449,5.696261682242991,0,239,1.0982786852618613,Michigan
SC,225,16,9,17.853634866425566,34121.84854654389,0.17117454969679552,0.109155425011773,72.02072538860104,5.774038461538462,0,225,0.7715486113407763,South Carolina
KS,220,10,6,24.62932029211099,153006.12130989166,0.1750307756772581,0.1476031146096865,69.18604651162791,6.423913043478261,0,220,1.0643612917939063,Kansas
NJ,216,21,5,24.771636309427006,44377.50496790031,0.1971965348913357,0.135799901912702,71.1864406779661,7.075757575757576,0,216,1.0705115086182804,New Jersey
MS,210,13,8,14.074175824175825,29752.48186813187,0.13980050947825098,0.09461799235456185,68.45238095238095,4.810526315789474,0,210,0.6082184885123519,Mississippi
NM,204,12,4,57.07635658914728,54694.76996124031,0.1075419083277003,0.0443644767763776,59.48717948717949,3.343283582089552,0,204,2.466566836177497,New Mexico
IN,190,20,6,60.117644467935165,2383335.2543227123,0.21726320803148114,0.144712454853116,79.41176470588235,7.747252747252747,0,190,2.597996735865824,Indiana
ME,173,10,0,17.247602010392708,38990.49953999489,0.18381462625528197,0.143095269327508,76.55172413793103,6.874172185430464,0,173,0.7453587731371092,Maine
VA,154,23,7,44.7797296050203,22530.148334256184,0.1411181418192725,0.131281519782796,80.23255813953489,4.783783783783784,0,154,1.9351654971918886,Virginia
WV,149,9,1,9.013078200868899,25828.24953999489,0.1808011584909577,0.14599432318411049,73.48484848484848,6.856060606060606,0,149,0.38950208301075623,West Virginia
IA,145,5,2,6.328454491245189,20619.71763023798,0.20227798698186306,0.171838340789336,70.39999999999999,7.56,0,145,0.27348550091811535,Iowa
AZ,139,19,7,26.484158509449205,38301.76354127139,0.23020244806860618,0.160016593574241,75.45454545454545,7.251798561151079,0,139,1.1445185181265862,Arizona
CT,106,14,7,19.084920634920636,25761.59841269841,0.1310957183839504,0.07549060867514985,70.0,4.915094339622642,0,106,0.8247588865566394,Connecticut
AL,82,15,4,10.043618493909191,17694.575318383166,0.16453163626802977,0.119963764469049,81.53846153846153,7.405063291139241,0,82,0.4340370999960757,Alabama
NE,63,7,2,13.283301033591732,348318.16857235145,0.1754991041448226,0.1626821682075555,94.44444444444444,5.920634920634921,0,63,0.5740406669659348,Nebraska
NV,62,5,4,5.855523255813954,10793.974127906977,0.05689302542973799,0.0265304341377318,62.0,1.2903225806451613,0,62,0.25304767743361944,Nevada
DE,41,4,0,7.808333333333334,1489.8166666666666,0.12093907389388378,0.103420125563763,84.21052631578947,3.8048780487804876,0,41,0.3374387784500144,Delaware
UT,27,6,2,5.8069444444444445,6396.156944444445,0.4339150857043983,0.1559547425546895,92.3076923076923,13.692307692307692,0,27,0.2509483338135024,Utah
ID,27,5,3,1.8278717406624383,1761.7805673009161,0.3118590934294975,0.254392806065896,91.66666666666666,11.5,0,27,0.0789918643328625,Idaho
RI,22,4,1,5.468023255813954,3025.303294573643,0.13776160534160184,0.145192349157545,76.19047619047619,5.428571428571429,0,22,0.2363017828787361,Rhode Island
SD,20,4,1,5.204134366925064,347054.28940568474,0.20689008599146366,0.254489426399177,95.0,8.05,0,20,0.22489776866573313,South Dakota
AK,13,2,1,0.9112050739957717,751.2389006342495,0.37815686557695355,0.358667892437519,84.61538461538461,13.538461538461538,0,13,0.03937792022453637,Alaska
MT,12,2,1,0.4263565891472868,569.0532945736434,0.3348554341762566,0.2923303575283,100.0,13.0,0,12,0.018425090282942386,Montana
NH,8,2,0,1.0930232558139534,324.51162790697674,0.3851747268965773,0.3643533198634125,100.0,14.75,0,8,0.04723523145263411,New Hampshire
VT,7,2,0,2.5,696.0,0.35855162842821636,0.402326560994396,100.0,15.666666666666666,0,7,0.108038029386344,Vermont
HI,4,1,0,0.09302325581395349,288.51162790697674,0.3851747268965773,0.3643533198634125,100.0,14.75,0,4,0.00402001969809652,Hawaii
WY,2,1,1,0.5,278.75,-0.0478485262082611,-0.0478485262082611,50.0,-2.0,0,2,0.021607605877268798,Wyoming
ND,1,1,0,0.1,2128.7000000000003,-0.251943611941047,-0.251943611941047,0.0,-10.0,0,1,0.00432152117545376,North Dakota
